date,tanks,armored_vehicle,planes,helicopters,cannons,mlrs_buk,mlrs_grad,mlrs,anti_air,uav,cruise_missiles,ships,cars_cisterns,special_equpment,personnel
28.02.2022,191,816,29,29,74.0,1.0,21.0,,,3.0,,2.0,,,5300
27.02.2022,150,706,27,26,50.0,1.0,4.0,,,2.0,,2.0,,,4500
26.02.2022,100,540,16,18,,,,,,,,,,,3000
25.02.2022,100,516,10,7,,,,,,,,,,,2800
24.02.2022,30,130,7,6,,,,,,,,,,,800
31.03.2022,614,1735,135,131,311.0,,,96.0,54.0,83.0,,7.0,22.0,22.0,17500
30.03.2022,605,1723,131,131,305.0,,,96.0,54.0,81.0,,7.0,21.0,21.0,17300
29.03.2022,597,1710,127,129,303.0,,,96.0,54.0,71.0,,7.0,21.0,21.0,17200
28.03.2022,586,1694,123,127,302.0,,,95.0,54.0,66.0,,7.0,21.0,21.0,17000
27.03.2022,582,1664,121,127,294.0,,,93.0,52.0,56.0,,7.0,21.0,21.0,16600
26.03.2022,575,1640,117,127,293.0,,,91.0,51.0,53.0,,7.0,19.0,19.0,16400
25.03.2022,561,1625,115,125,291.0,,,90.0,49.0,53.0,,5.0,18.0,18.0,16100
24.03.2022,530,1597,108,124,280.0,,,82.0,47.0,50.0,,4.0,16.0,16.0,15800
23.03.2022,517,1578,101,124,267.0,,,80.0,47.0,42.0,,4.0,15.0,15.0,15600
22.03.2022,509,1556,99,123,252.0,,,80.0,45.0,35.0,,3.0,15.0,15.0,15300
21.03.2022,498,1535,97,121,240.0,,,80.0,45.0,24.0,,3.0,13.0,13.0,15000
20.03.2022,476,1487,96,118,230.0,,,74.0,44.0,21.0,,3.0,12.0,12.0,14700
19.03.2022,466,1470,95,115,213.0,,,72.0,44.0,17.0,,3.0,11.0,11.0,14400
18.03.2022,450,1448,93,112,205.0,,,72.0,43.0,12.0,,3.0,11.0,11.0,14200
17.03.2022,444,1435,86,108,201.0,,,72.0,43.0,11.0,,3.0,10.0,10.0,14000
16.03.2022,430,1375,84,108,190.0,,,70.0,43.0,11.0,,3.0,10.0,10.0,13800
15.03.2022,404,1279,81,95,150.0,,,64.0,36.0,9.0,,3.0,,,13500
14.03.2022,389,1249,77,90,150.0,,,64.0,34.0,8.0,,3.0,,,12000
13.03.2022,374,1226,74,86,140.0,,,62.0,34.0,7.0,,3.0,,,12000
12.03.2022,362,1205,58,83,135.0,,,62.0,33.0,7.0,,3.0,,,12000
11.03.2022,353,1165,57,83,125.0,,,58.0,31.0,7.0,,3.0,,,12000
10.03.2022,335,1105,49,81,123.0,,,56.0,29.0,7.0,,3.0,,,12000
09.03.2022,317,1070,49,81,120.0,,,56.0,28.0,7.0,,3.0,,,12000
08.03.2022,303,1036,48,80,120.0,,,56.0,27.0,7.0,,3.0,,,12000
07.03.2022,290,999,46,68,117.0,,,50.0,23.0,7.0,,3.0,,,11000
06.03.2022,285,985,44,48,109.0,,,50.0,21.0,4.0,,2.0,,,11000
05.03.2022,269,945,39,40,105.0,,,50.0,19.0,3.0,,2.0,,,10000
04.03.2022,251,939,37,37,105.0,,,50.0,18.0,3.0,,2.0,,,9166
03.03.2022,217,900,30,31,90.0,,,42.0,11.0,3.0,,2.0,,,9000
02.03.2022,211,862,30,31,85.0,,40.0,,9.0,3.0,,2.0,,,5840
01.03.2022,198,846,29,29,77.0,1.0,24.0,,7.0,3.0,,2.0,,,5710
30.04.2022,1008,2445,190,155,436.0,,,151.0,77.0,232.0,,8.0,32.0,32.0,23200
29.04.2022,986,2418,189,155,435.0,,,151.0,73.0,229.0,,8.0,31.0,31.0,23000
28.04.2022,970,2389,187,155,431.0,,,151.0,72.0,215.0,,8.0,31.0,31.0,22800
27.04.2022,939,2342,185,155,421.0,,,149.0,71.0,207.0,,8.0,31.0,31.0,22400
26.04.2022,918,2308,184,154,416.0,,,149.0,69.0,205.0,,8.0,31.0,31.0,22100
25.04.2022,884,2258,181,154,411.0,,,149.0,69.0,201.0,,8.0,28.0,28.0,21900
24.04.2022,873,2238,179,154,408.0,,,147.0,69.0,191.0,,8.0,28.0,28.0,21800
23.04.2022,854,2205,177,154,403.0,,,143.0,69.0,182.0,,8.0,27.0,27.0,21600
22.04.2022,838,2162,176,153,397.0,,,138.0,69.0,172.0,,8.0,27.0,27.0,21200
21.04.2022,829,2118,172,151,393.0,,,136.0,67.0,166.0,,8.0,27.0,27.0,21000
20.04.2022,815,2087,171,150,391.0,,,136.0,67.0,165.0,,8.0,27.0,27.0,20900
19.04.2022,802,2063,169,150,386.0,,,132.0,67.0,158.0,,8.0,27.0,27.0,20800
18.04.2022,790,2041,167,147,381.0,,,130.0,67.0,155.0,,8.0,27.0,27.0,20600
17.04.2022,773,2002,165,146,376.0,,,127.0,66.0,148.0,,8.0,27.0,27.0,20300
16.04.2022,762,1982,163,145,371.0,,,125.0,66.0,138.0,,8.0,26.0,26.0,20100
15.04.2022,756,1976,163,144,366.0,,,,66.0,135.0,,8.0,25.0,25.0,20000
14.04.2022,753,1968,160,144,366.0,,,122.0,64.0,134.0,,7.0,25.0,25.0,19900
13.04.2022,739,1964,158,143,358.0,,,115.0,64.0,132.0,,7.0,25.0,25.0,19800
